id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35605277,Condo in Boston · 1 bedroom · 2 beds · 1 bath,266312920,STARS Of,,Brighton,42.33754,-71.15007,Entire home/apt,118,30,0,,,31,0,0,Exempt: This listing is a unit used for furnished institutional or business stays
35682239,Hotel in Boston · ★4.49 · 1 bedroom · 1 bed · 1 bath,243931054,Boston Park Plaza,,Back Bay,42.35144,-71.07072,Private room,418,1,39,2023-08-09,0.94,14,302,6,Exempt: This listing is a hotel or motel
35682265,Hotel in Boston · ★4.68 · 1 bedroom · 2 beds · 1 bath,243931054,Boston Park Plaza,,Back Bay,42.35043,-71.0707,Private room,436,1,38,2023-08-24,0.91,14,300,11,Exempt: This listing is a hotel or motel
35682280,Hotel in Boston · ★4.70 · 1 bedroom · 1 bed · 1 bath,243931054,Boston Park Plaza,,Bay Village,42.34996,-71.06991,Private room,418,1,20,2020-12-28,0.44,14,0,0,Exempt: This listing is a hotel or motel
35682301,Hotel in Boston · ★4.83 · 1 bedroom · 2 beds · 1 bath,243931054,Boston Park Plaza,,Bay Village,42.35015,-71.06913,Private room,418,1,6,2020-12-28,0.13,14,0,0,Exempt: This listing is a hotel or motel
35682313,Hotel in Boston · ★3.88 · 1 bedroom · 1 bed · 1 bath,243931054,Boston Park Plaza,,Downtown,42.35061,-71.06868,Private room,418,1,8,2022-12-13,0.17,14,303,1,Exempt: This listing is a hotel or motel
35684143,Condo in Boston · 3 bedrooms · 4 beds · 2 baths,79566228,Christine,,Brighton,42.34855,-71.16518,Entire home/apt,125,91,2,2019-07-29,0.04,1,90,0,
35689708,Home in Boston · ★4.80 · 1 bedroom · 2 beds · 3.5 shared baths,8958031,Simon,,East Boston,42.36605,-71.03288,Private room,80,29,5,2019-09-09,0.10,2,0,0,STR-408998
35693019,Rental unit in Boston · 1 bedroom · 1 bed · 2 shared baths,191449187,Fehr,,East Boston,42.36951,-71.03751,Private room,125,91,2,2019-10-13,0.04,2,0,0,
35714054,Home in Boston · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,38879163,Daniela,,Hyde Park,42.25397,-71.12792,Private room,38,29,39,2020-03-14,0.76,1,0,0,STR-398627
35807024,Rental unit in Boston · 1 bedroom · 2 beds · 1 bath,90175388,Alekya,,Allston,42.3527,-71.12302,Entire home/apt,200,91,0,,,1,0,0,
35836205,Condo in Boston · ★4.87 · Studio · 2 beds · 1 bath,157002656,Allison,,East Boston,42.38586,-71.01381,Entire home/apt,150,2,141,2023-09-01,2.82,1,58,38,STR-409787
35915047,Rental unit in Boston · ★4.34 · 1 bedroom · 2 beds · 1 bath,85130,Copley,,Back Bay,42.34458,-71.08019,Entire home/apt,427,1,192,2023-08-27,4.28,6,354,19,Exempt: This listing is a hotel or motel
35915207,Boutique hotel in Boston · ★4.30 · Studio · 2 beds · 1 private bath,85130,Copley,,South End,42.34389,-71.07927,Private room,380,91,11,2020-11-16,0.21,6,347,0,Exempt: This listing is a hotel or motel
35916196,Boutique hotel in Boston · ★4.51 · Studio · 1 bed · 1 private bath,85130,Copley,,Back Bay,42.34458,-71.08019,Private room,312,1,270,2023-08-27,5.81,6,311,40,Exempt: This listing is a hotel or motel
35968526,Home in Boston · ★4.98 · 1 bedroom · 1 bed · 1 private bath,18409308,Marlene,,Allston,42.36138,-71.125,Private room,136,2,157,2023-09-10,3.16,3,65,49,STR402530
35988307,Condo in Boston · ★4.95 · 1 bedroom · 1 bed · 1 bath,105698174,Konrad,,Downtown,42.34978,-71.05821,Entire home/apt,254,4,107,2023-09-14,2.13,1,0,31,STR-413649
